source,target
（AB)深圳市一番食品有限公司(英国）,上海日生食品物流有限公司
（安达）上海三和禽业,上海浦众农贸市场经营管理有限公司
（安达路）夏星食品经营部,上海浦众农贸市场经营管理有限公司
（陈友德）上海市金山区陈友德副食品经营部,上海绩申酒店管理有限公司
（董加伍）上海市金山区董加伍副食品经营部,上海绩申酒店管理有限公司
（个体工商户）高守明,上海古意餐饮管理有限公司静安分公司
（个体工商户）卢正超,上海古意餐饮管理有限公司静安分公司
（个体工商户）潘海永,上海古意餐饮管理有限公司静安分公司
(胡少雄）金山区朱行镇雄林什店,上海绩申酒店管理有限公司
（胡云)上海市金山区军汇熟食店,上海绩申酒店管理有限公司
（黄水泉）上海市金山区黄水泉农副产品商店,上海绩申酒店管理有限公司
(康威）上海市金山区联鑫水果店,上海绩申酒店管理有限公司
(昆山）上海市赫遥食品公司,上海浦众农贸市场经营管理有限公司
（昆山）夏星食品经营部,上海浦众农贸市场经营管理有限公司
(乐购）上海金山乐购生活购物有限公司,上海绩申酒店管理有限公司
（李国年）上海市金山区李国年食品经营部,上海绩申酒店管理有限公司
（刘齐书）上海市金山区刘齐书水产品经营部,上海绩申酒店管理有限公司
（上海）新隆食品商行,上海浦众农贸市场经营管理有限公司
（苏州）弘品源食品经营部,上海浦众农贸市场经营管理有限公司
(苏州)新福冷冻经营部,上海浦众农贸市场经营管理有限公司
（颜云香）上海市金山区颜云香副食商店,上海绩申酒店管理有限公司
（杨静欢）上海市金山区鑫扬副食品商店,上海绩申酒店管理有限公司
(张宝平）上海市金山区张宝平副食品经营部,上海绩申酒店管理有限公司
（张建）上海市金山区石化华健禽蛋经营部,上海绩申酒店管理有限公司
(赵周华）上海市金山区赵周华豆制品经营部,上海绩申酒店管理有限公司
?Fujia上海富嘉食品有限公司,上海二十一世纪酒店有限公司
?上海汉康豆类食品有限公司,上海福棠菜市场经营管理有限公司
0252-多美滋婴幼儿食品有限公司,上海联家超市有限公司徐泾店
0252-多美滋婴幼儿食品有限公司,上海联家超市有限公司友谊南方商城店
0252-多美滋婴幼儿食品有限公司,上海联家超市有限公司武宁店
0252-多美滋婴幼儿食品有限公司,上海联家超市有限公司大场店
0252-多美滋婴幼儿食品有限公司,上海联家超市有限公司联洋店
0252-多美滋婴幼儿食品有限公司,上海联家超市有限公司万达店
0252-多美滋婴幼儿食品有限公司,上海联家超市有限公司张江高科店
0252-多美滋婴幼儿食品有限公司,上海联家超市有限公司巨峰店
0252-多美滋婴幼儿食品有限公司,上海联家超市有限公司徐汇店
0252-多美滋婴幼儿食品有限公司,上海联家超市有限公司莘庄店
0252-多美滋婴幼儿食品有限公司,上海联家超市有限公司川沙店
0252-多美滋婴幼儿食品有限公司,上海联家超市有限公司曹路店
0289佳格投资(中国)有限公司,上海家得利超市有限公司
0297上海良友海狮油脂实业有限公司,上海家得利超市有限公司
0℃-10℃5天，11℃-20℃3天,上海清美绿色食品有限公司
1682山东鲁花集团商贸有限公司上海分公司,上海家得利超市有限公司
2.上海市浦东新区三林镇陈兆勇肉品摊,上海唐汉风韵餐饮管理有限公司
2015上海虎头贸易有限公司,上海家得利超市有限公司
2426上海鑫福昌工贸有限公司,上海家得利超市有限公司
2428上海乐惠米业有限公司,上海家得利超市有限公司
2776上海融氏企业有限公司,上海家得利超市有限公司
3753上海龙渤米业有限公司,上海家得利超市有限公司
3827光明米业(集团)有限公司,上海家得利超市有限公司
4、上海艺杏食品有限公司,上海市宝钢新世纪学校
4110黑龙江龙和农业发展有限公司,上海家得利超市有限公司
5、上海君宏博贸易有限公司,上海市宝钢新世纪学校
5.锦江麦德龙现购自运有限公司上海浦东商场,上海唐汉风韵餐饮管理有限公司
6、上海天琦食品农产品销售有限公司,上海市宝钢新世纪学校
6.个体工商户,上海唐汉风韵餐饮管理有限公司
7、上海市宝山区老邱水产行,上海市宝钢新世纪学校
8、上海乐客吉贸易有限公司,上海市宝钢新世纪学校
8652-上海南浦食品公司浦东分公司,上海联家超市有限公司新南店
8652-上海南浦食品公司浦东分公司,上海联家超市有限公司金桥店
8652-上海南浦食品公司浦东分公司,上海联家超市有限公司曹路店
8652-上海南浦食品公司浦东分公司,上海联家超市有限公司联洋店
8652-上海南浦食品公司浦东分公司,上海联家超市有限公司徐汇店
8652-上海南浦食品公司浦东分公司,上海联家超市有限公司真北店
8652-上海南浦食品公司浦东分公司,上海联家超市有限公司巨峰店
8652-上海南浦食品公司浦东分公司,上海联家超市有限公司武宁店
8652-上海南浦食品公司浦东分公司,上海联家超市有限公司莘庄店
8652-上海南浦食品公司浦东分公司,上海联家超市有限公司友谊南方商城店
8652-上海南浦食品公司浦东分公司,上海联家超市有限公司张江高科店
8652-上海南浦食品公司浦东分公司,上海联家超市有限公司青浦公园店
8652-上海南浦食品公司浦东分公司,上海联家超市有限公司浦江店
8652-上海南浦食品公司浦东分公司,上海联家超市有限公司川沙店
8652-上海南浦食品公司浦东分公司,上海联家超市有限公司共江店
8652-上海南浦食品公司浦东分公司,上海联家超市有限公司徐泾店
8652-上海南浦食品公司浦东分公司,上海联家超市有限公司荣乐路店
8652-上海南浦食品公司浦东分公司,上海联家超市有限公司万达店
8652-上海南浦食品公司浦东分公司,上海联家超市有限公司大场店
9、浙江青莲食品股份有限公司,上海市宝钢新世纪学校
9.大丰市白驹镇建丰米厂,上海唐汉风韵餐饮管理有限公司
AT99-裴顿食品（安徽）有限公司,上海联家超市有限公司大场店
AT99-裴顿食品（安徽）有限公司,上海联家超市有限公司武宁店
AT99-裴顿食品（安徽）有限公司,上海联家超市有限公司中山公园店
AT99-裴顿食品（安徽）有限公司,上海联家超市有限公司南翔店
AT99-裴顿食品（安徽）有限公司,上海联家超市有限公司真北店
AT99-裴顿食品（安徽）有限公司,上海联家超市有限公司友谊南方商城店
AT99-裴顿食品（安徽）有限公司,上海联家超市有限公司徐泾店
AT99-裴顿食品（安徽）有限公司,上海联家超市有限公司联洋店
AT99-裴顿食品（安徽）有限公司,上海联家超市有限公司万里店
AT99-裴顿食品（安徽）有限公司,上海联家超市有限公司川沙店
AT99-裴顿食品（安徽）有限公司,上海联家超市有限公司莘庄店
B428-南京利丰英和上海有限公司,上海联家超市有限公司荣乐路店
B428-南京利丰英和上海有限公司,上海联家超市有限公司联洋店
B428-南京利丰英和上海有限公司,上海联家超市有限公司青浦公园店
B428-南京利丰英和上海有限公司,上海联家超市有限公司川沙店
B428-南京利丰英和上海有限公司,上海联家超市有限公司大场店
B428-南京利丰英和上海有限公司,上海联家超市有限公司曹路店
B428-南京利丰英和上海有限公司,上海联家超市有限公司巨峰店
B428-南京利丰英和上海有限公司,上海联家超市有限公司共江店
B428-南京利丰英和上海有限公司,上海联家超市有限公司真北店
B428-南京利丰英和上海有限公司,上海联家超市有限公司张江高科店
B428-南京利丰英和上海有限公司,上海联家超市有限公司金桥店
B428-南京利丰英和上海有限公司,上海联家超市有限公司武宁店
B428-南京利丰英和上海有限公司,上海联家超市有限公司徐泾店
B428-南京利丰英和上海有限公司,上海联家超市有限公司徐汇店
B428-南京利丰英和上海有限公司,上海联家超市有限公司莘庄店
B428-南京利丰英和上海有限公司,上海联家超市有限公司友谊南方商城店
B428-南京利丰英和上海有限公司,上海联家超市有限公司新里城店
B428-南京利丰英和上海有限公司,上海联家超市有限公司万达店
T043-上海浦之灵食品有限公司,上海联家超市有限公司七宝店
T275-上海东辉食品有限公司,上海联家超市有限公司友谊南方商城店
T275-上海东辉食品有限公司,上海联家超市有限公司张江高科店
T275-上海东辉食品有限公司,上海联家超市有限公司巨峰店
T275-上海东辉食品有限公司,上海联家超市有限公司曹路店
T275-上海东辉食品有限公司,上海联家超市有限公司徐泾店
T275-上海东辉食品有限公司,上海联家超市有限公司联洋店
T275-上海东辉食品有限公司,上海联家超市有限公司青浦公园店
T275-上海东辉食品有限公司,上海联家超市有限公司莘庄店
T275-上海东辉食品有限公司,上海联家超市有限公司川沙店
T275-上海东辉食品有限公司,上海联家超市有限公司徐汇店
T275-上海东辉食品有限公司,上海联家超市有限公司真北店
T275-上海东辉食品有限公司,上海联家超市有限公司武宁店
T275-上海东辉食品有限公司,上海联家超市有限公司万达店
V683-上海天成企业发展有限公司,上海联家超市有限公司共江店
V683-上海天成企业发展有限公司,上海联家超市有限公司徐泾店
V683-上海天成企业发展有限公司,上海联家超市有限公司张江高科店
V683-上海天成企业发展有限公司,上海联家超市有限公司曹路店
V683-上海天成企业发展有限公司,上海联家超市有限公司青浦公园店
V683-上海天成企业发展有限公司,上海联家超市有限公司巨峰店
V683-上海天成企业发展有限公司,上海联家超市有限公司荣乐路店
V683-上海天成企业发展有限公司,上海联家超市有限公司武宁店
V683-上海天成企业发展有限公司,上海联家超市有限公司友谊南方商城店
V683-上海天成企业发展有限公司,上海联家超市有限公司联洋店
V683-上海天成企业发展有限公司,上海联家超市有限公司徐汇店
V683-上海天成企业发展有限公司,上海联家超市有限公司莘庄店
V683-上海天成企业发展有限公司,上海联家超市有限公司万达店
W915-上海东辉食品有限公司,上海联家超市有限公司川沙店
W915-上海东辉食品有限公司,上海联家超市有限公司友谊南方商城店
W915-上海东辉食品有限公司,上海联家超市有限公司真北店
W915-上海东辉食品有限公司,上海联家超市有限公司金桥店
W915-上海东辉食品有限公司,上海联家超市有限公司七宝店
W915-上海东辉食品有限公司,上海联家超市有限公司大场店
W915-上海东辉食品有限公司,上海联家超市有限公司荣乐路店
W915-上海东辉食品有限公司,上海联家超市有限公司莘庄店
