label,x,y
煦隆食品经营部,113.0411537,23.71116421
上海肯德基有限公司永盛餐厅,121.2750122,31.33222051
上海豪瀚食品有限公司分公司,121.3272248,31.47357852
三鑫分公司,120.2330337,29.73278303
上海盘古餐饮管理有限公司第五十三分店,121.4192857,31.23782766
大润发盐都店,119.9685007,33.26589827
上海力宁食品有限公司,121.3964379,31.16021982
上海致远果蔬有限公司,121.4878995,31.24916171
神稻橡塑有限公司,121.2384543,28.16175941
蓝顿旭美食品有限公司,112.7247676,38.15501536
温州艾卡夫咖啡馆,120.6906347,28.00283759
上海广艺食品经营部,121.4878995,31.24916171
安庆欧尚,117.0587388,30.53789782
老西门易买得,121.4897929,31.22296618
五常市大洋粮油有限公司,127.4911126,44.77254356
杭州九滴久酒业有限公司,119.7865175,29.86341384
上海市宝山区国金肉类经销部,121.4090412,31.39862269
山西顺大食品有限公司,113.6381177,37.86555963
北翠路310(农工商),121.2359824,31.04331493
上海农信餐饮,121.7278217,31.52729151
上海联家超市有限公司真北店,121.4011667,31.26586615
青田食品,118.1494269,24.71611757
蔬菜陈,111.1677149,37.52758007
上海启杰贸易有限工商,121.5949801,31.21362079
上海松江区九亭万友副食品经营部,121.3385566,31.1526985
年家浜45(农工商),121.5860465,31.12158912
漯河市天志食品有限公司,114.0460614,33.57627869
苏州知味香食品有限公司,121.1143779,31.45461233
1094上海银苏贸易商行,121.4878995,31.24916171
南园路菜店（预付）,114.4176139,30.47978794
上海联家超市有限公司联洋店,121.5658055,31.23365928
安徽九鼎农业科技发展股份有限,117.2160052,31.85925242
上海必胜客有限公司金科路店,121.6077958,31.20960833
崇明中兴镇市场（金红春）（散户）,121.7646667,31.52974247
家得利龙柏专卖,121.3619543,31.17925253
上海市浦东新区沪东新村街道信义食品店,121.5886457,31.2732331
朱桥小学-老师,110.816699,27.01440313
上海怀乾贸易有限公司,121.4878995,31.24916171
大润发怀远店,117.0420865,33.03713075
安特食品股份有限公司,120.3736921,28.14389968
上海市普陀区日洋南北货店,121.3984429,31.26374293
彭浦1(华联吉卖盛),121.4628316,31.31724027
（宏伊）上海港丽餐饮管理有限公司南京东路分公司（宏伊）,121.4902291,31.24286665
上海市宝山区茂怀食品经营部,121.4090412,31.39862269
金华市婺城区成润食品经营部,119.5175723,28.98453967
上海逍云蔬菜经营部,121.3206473,30.77177363
保屯(联华),105.0572352,25.73859352
成山店(世纪联华),121.5935037,29.88565641
上海龙翔粮油贸易有限公司,121.4878995,31.24916171
大昌集贸市场038号,120.9469766,40.72695727
上海缘生食品有限公司,121.3117224,30.99983565
B1-0901裘锦秋实验学校2703①,121.4719486,31.24609397
上海农工商好德超市有限公司,121.5591267,31.37097183
汉宫酒家（陆家嘴环路）(H),121.507342,31.24149018
江1,120.2069333,30.20157513
味之鲜-南京汇荣,118.7780744,32.0572355
日世（上海）商贸有限公司,121.4878995,31.24916171
苏州高峰淀粉科技有限公司,120.3860021,31.95302517
B2-1903a航头学校（分校）5002a②学生,121.6012241,31.0347086
上海上蔬永辉生鲜食品有限公司,121.5568974,31.25633255
奉贤南桥勤奋经营部,121.5606417,30.91512245
黄渡菜市场（杨生妹）（加盟）,121.2169423,31.27416762
崇明生态金杨店加盟预付,121.5353975,31.63356493
远洋店经销（航西小区）,121.5868571,31.02424606
上海东宝百货有限公司,121.489692,31.26328924
?Fujia上海富嘉食品有限公司,121.4026715,31.62731937
富民317(伍缘折扣超市),102.5841026,25.36343929
城市规划院（索迪斯）,116.0108343,29.71970971
上海大昌集贸市场经营管理有限公司,121.4883194,31.34297346
浦东商场,121.5139025,31.17790796
芳华（联华）,103.8414315,30.04768886
九亭雨润郊区加盟（预付）,111.5565294,32.54239396
塘外中学（绿引）,121.6262511,30.90717465
上海都市菜园发展有限公司,121.5967097,30.87121099
联华黄渡专卖,117.588382,37.64821334
上海佳富绿色食品有限公司（豆制品）,121.4878995,31.24916171
五常市华天粮油贸易有限公司,127.4892819,44.91618078
上海雨润,121.4878995,31.24916171
松江龙源加盟预付,121.2267905,31.02124463
上海亿成食品有限公司,121.1979643,31.35457327
五角场店,121.5204733,31.30578364
统一超商（上海）便利有限公司,121.312238,30.95677983
上海必胜客有限公司天山路餐厅,121.4089667,31.21683179
泗洪县康源冷鲜肉销售中心,118.3125513,33.42595527
上砂市场59号,115.7067217,23.48134646
月浦大卖场394(农工商),116.6952755,23.4260929
长白（家得利）,127.8643584,41.58470916
平型关路加盟,121.467213,31.28127454
上海市浦东新区康桥镇守炳鲜肉店,121.5735042,31.1552974
上海加工厂内部,121.4878995,31.24916171
上海剑宇果品有限公司,121.514439,31.21983899
西渡幼儿园（绿引）,121.4356806,30.99858274
联华康健专卖,117.588382,37.64821334
彬龙农副产品销售有限公司,119.1167008,33.58680733
石湖荡水站,121.1259894,30.9880699
马陆批发市场12,121.2902251,31.33575521
民春339(伍缘折扣超市),121.4202035,31.0264623
通河2店90(伍缘折扣超市),128.7622323,46.24785725
徐州新沂市新君晓商贸有限公司,118.3441215,34.28444274
紫荆小学-学生,104.0594812,30.61571209
菊太农贸市场,119.3238333,26.06002652
重庆善品园食品有限公司,106.530635,29.54460611
永昌西康,102.0343163,38.43340967
上海启杰贸易有限公司,121.4878995,31.24916171
江3,120.6630004,30.25743732
上海辉顺贸易有限公司,121.4878995,31.24916171
松江飞航广场（物美）,121.2111296,31.01615498
上海凯泉食品有限公司,121.6943603,31.23264581
浦东新区御桥小学御山校区,121.575363,31.16120167
上海首品餐饮管理有限公司静安第五分公司,121.4547556,31.2353808
上海市闵行区浦江镇玲隽熟食店,121.5232854,31.08147535
上海玉杭粮油批发部,121.4342644,31.25516036
马陆批发市场13,121.2902251,31.33575521
怡乐食上海大陆,121.4878995,31.24916171
常州爱佳果蔬开发有限责任公司,119.981861,31.77139674
湖州震远同食品有限公司,120.0767889,30.87290463
上海大山合菌物科技股份有限公司,121.4876035,30.97942395
大润发松江店,121.2260245,31.02337945
潍坊信元食品有限公司,119.1426338,36.71611487
洪德店联华（经销）,113.2583946,23.10746274
乐购大卖场(金山店),121.762754,31.04731397
上海申北副食品市场经营管理有限公司天潼路分公司,121.4853747,31.24941123
崇明堡镇83(农工商),121.6248771,31.54209671
上海绿叶农副产品市场经营管理有限公司月浦三村市场分公司,121.4346757,31.42533315
普陀区教育服务配送中心《长征中学》,121.4056398,31.23926753
B1-0507a华师大附属周浦中学5201a①学生,120.0829426,30.09685301
上海必胜客有限公司虹中路店,121.3852512,31.19267348
天和湖滨生鲜家园预付,121.7606998,31.18546853
浦东证大丽笙酒店,121.5669354,31.2327293
航道（生鲜）,121.5968699,29.87694662
上海肯德基有限公司新源餐厅,121.7043496,31.20116455
B2-1911a奉贤区江海第一小学0402a②学生,121.4615979,30.91348336
上海宝山宜家家居有限公司,121.4090412,31.39862269
上海辉哥海鲜火锅餐饮有限公司桃江路店,121.4552915,31.21584703
新镇99(伍缘折扣超市),121.4202035,31.0264623
鸿安集体山东有限公司,118.5276634,36.09928993
上海年惠贸易有限责任公司（代理）,121.4878995,31.24916171
东安市场1082号(李珠萍),129.6293227,44.58463239
普陀区教育服务配送中心《银锄湖(分)》,121.4056398,31.23926753
山西太原中兴休闲食品批发,112.5508636,37.89027705
联华虎山,117.588382,37.64821334
黄冈市蕲春汇鑫食品批发商行,115.6007708,30.32871701
丹阳欧尚,119.5872726,31.98893061
北新泾,121.3784942,31.22260899
天环市场110号,115.078171,30.19634503
昆山美香悦食品有限公司,120.9658078,31.3289368
兴浪食品商行,113.638532,34.74883156
欧尚（中国）投资有限公司,121.4187689,29.67456773
上海市宝山区颜梅肉类经营部,121.4090412,31.39862269
迪美分公司,116.3944375,39.98018469
13.联华东海店,118.6293048,24.88600161
上海泰晤士西餐有限责任公司,121.4878995,31.24916171
御桥店(世纪联华),121.5384303,31.17298028
上海永胜食品有限公司,121.4878995,31.24916171
青岛力创食品有限公司,120.0280904,36.61334485
